Id,SalePrice
1461,162961.14486378196
1462,163008.43150255186
1463,163073.37914424136
1464,163100.32884165758
1465,163045.56221986783
1466,163075.60564422468
1467,163024.62356927278
1468,163084.00545932428
1469,163045.1066421825
1470,162968.83455376382
1471,163065.17605281196
1472,162977.8895518264
1473,162970.19336602904
1474,163007.00478490943
1475,162970.5495212237
1476,163129.90878664385
1477,163112.4641442864
1478,163119.82249027173
1479,163110.96702872377
1480,163057.6401676652
1481,163141.76464819486
1482,163094.65106530528
1483,163079.04131457477
1484,163065.2847859411
1485,163095.3406427194
1486,163113.9876928608
1487,163100.2438466578
1488,163112.16709448557
1489,163075.42080237923
1490,163081.743857698
1491,163108.97884448187
1492,162956.08362978205
1493,163020.2850232136
1494,163082.72906169528
1495,163126.5179644079
1496,163080.51101187832
1497,163056.14935812601
1498,163041.66837302223
1499,163030.19695319884
1500,163046.5622867597
1501,163040.6970257361
1502,163055.7623998283
1503,163027.18031436918
1504,163120.12309756497
1505,163105.58393922294
1506,163043.91904188853
1507,163098.97847622584
1508,163050.21533382608
1509,163008.72109681647
1510,163010.587134549
1511,162995.63921603994
1512,163024.1985092114
1513,163012.41955691678
1514,163001.06919004765
1515,163028.32805120802
1516,162997.4856686356
1517,163009.27847241217
1518,162998.92324144888
1519,163074.94192090302
1520,162969.0172359185
1521,162984.6284355651
1522,163025.666351726
1523,162943.25989175864
1524,162954.5815876937
1525,162951.46326040576
1526,162960.42961522128
1527,162959.44954704988
1528,162960.72423769836
1529,162984.82514962385
1530,163014.40871880832
1531,162997.0042949292
1532,162955.15763870248
1533,162993.68679641138
1534,162974.4255885874
1535,162980.0907572667
1536,162943.89794585184
1537,162992.24712493533
1538,162998.2685263917
1539,163024.1592576395
1540,163005.79434985577
1541,162995.16609413666
1542,162984.4554326045
1543,163000.58657778965
1544,162941.4550320393
1545,162937.77227992914
1546,162979.80012279464
1547,162978.38821938934
1548,162949.56330427687
1549,162971.72722643238
1550,162961.6276199537
1551,162965.2163494823
1552,162987.30559220884
1553,162991.64173417358
1554,162967.74801546268
1555,163033.0071006199
1556,162990.59153348132
1557,162976.33281934753
1558,162974.06641964958
1559,162996.64043413862
1560,162996.6119367308
1561,163003.2146571961
1562,162969.8368649293
1563,162949.4576211272
1564,163031.25736276654
1565,163006.63693820836
1566,163036.3097042651
1567,162958.16797101087
1568,163084.25545552996
1569,163003.80924999953
1570,162983.6891947013
1571,162995.31313348032
1572,162989.7836944021
1573,163066.61623106766
1574,163004.7964092191
1575,163034.1175673161
1576,163088.71330542996
1577,163082.67860794492
1578,162993.16438252555
1579,163004.02689162598
1580,163091.65813404086
1581,162993.0151232226
1582,162960.7031288945
1583,163110.18815121532
1584,163120.31535179785
1585,163031.00116186717
1586,162971.85202739615
1587,162957.11709371707
1588,162980.84685357145
1589,162978.9613684009
1590,162984.24252876997
1591,162950.4298071997
1592,162991.08392506794
1593,162961.5868247346
1594,163004.56955713115
1595,162986.80680978968
1596,163029.38675022122
1597,163023.55842588958
1598,163075.3912940392
1599,163020.78149387278
1600,163030.07206165325
1601,162958.23075677283
1602,162968.44142585638
1603,163006.65789338594
1604,163045.55017614426
1605,163121.96388766175
1606,163014.6063791735
1607,163030.87127734654
1608,163116.17946184677
1609,163075.48236084473
1610,163054.28940844486
1611,162991.55366764878
1612,163080.16549617573
1613,163069.64291990647
1614,162990.2899806156
1615,162952.4673250037
1616,162956.49208331952
1617,162954.24703357578
1618,162960.00162447148
1619,162984.6743681052
1620,163026.04740027626
1621,162994.74300946595
1622,163005.73098305383
1623,163041.0078124633
1624,163102.52780784306
1625,162972.4172960237
1626,163047.03383847894
1627,163091.68981714637
1628,163142.94958302603
1629,163055.28827945367
1630,163076.87250615787
1631,163070.02229648226
1632,163072.52827576068
1633,163078.85168345706
1634,163093.83900641237
1635,163076.56872187764
1636,163051.0564448674
1637,163061.28047651003
1638,163044.49566362027
1639,163062.07928489993
1640,163090.6544484582
1641,163057.03651849876
1642,163103.69488106365
1643,163075.86581313837
1644,163086.3516867496
1645,163025.7527527209
1646,163020.09388858735
1647,163024.97486284317
1648,162995.11240226313
1649,162992.524388108
1650,162959.02535486573
1651,162962.53604398266
1652,162964.56248032954
1653,162962.35398341957
1654,163008.86944948172
1655,163000.01430678015
1656,163007.74432211198
1657,163004.08955055484
1658,163024.94787071424
1659,162968.01142533912
1660,163015.28430905062
1661,163101.1160844599
1662,163136.9900884764
1663,163130.02863821393
1664,163051.06561738419
1665,163129.94334483915
1666,163125.7001380134
1667,163115.7345428655
1668,163133.58734594946
1669,163126.00686481755
1670,163125.23211210762
1671,163121.7091814217
1672,163089.57310331624
1673,163146.15493693863
1674,163128.52172111502
1675,163089.75765844094
1676,163084.48735466812
1677,163100.6321212718
1678,163052.73082636058
1679,163125.1168518093
1680,163109.30395128956
1681,163097.52672848187
1682,163122.53978628753
1683,163083.13325818547
1684,163084.6290402119
1685,163109.66459669883
1686,163075.69480013018
1687,163097.62374012335
1688,163124.4948584359
1689,163117.81070745704
1690,163117.08898663457
1691,163109.19328742623
1692,163130.82676687726
1693,163069.298749939
1694,163086.7959395349
1695,163067.1311481326
1696,163082.18340386963
1697,163072.22689890707
1698,163135.43067948826
1699,163050.22618915632
1700,163118.30685233892
1701,163134.0789523536
1702,163120.51921078074
1703,163131.5575773217
1704,163130.35121656876
1705,163129.7559552869
1706,163014.78072911306
1707,163106.05240748322
1708,163096.09318384604
1709,163126.22048627885
1710,163113.4880184336
1711,163124.91252101702
1712,163107.68227976852
1713,163116.96755414247
1714,163074.39302734708
